scenario,vintage,scope,year,value,unit,source
NZE,WEO2025,Global Oil (A.4),2033,7708.27,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2033,6568.818182,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2033,14277.09091,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2034,7217.636364,Mt CO2,interp_fuente
NZE,WEO2025,Global Gas (A.4),2034,6063.909091,Mt CO2,interp_fuente
NZE,WEO2025,Global O&G (A.4),2034,13281.54545,Mt CO2,interp_fuente
NZE,WEO2025,Global Oil (A.4),2035,6727,Mt CO2,reported
NZE,WEO2025,Global Gas (A.4),2035,5559,Mt CO2,reported
NZE,WEO2025,Global O&G (A.4),2035,12286,Mt CO2,reported
NZE,WEO2025,Global Oil (A.4),2036,6208.6,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2036,5035.8,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2036,11244.4,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2037,5690.2,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2037,4512.6,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2037,10202.8,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2038,5171.8,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2038,3989.4,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2038,9161.2,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2039,4653.4,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2039,3466.2,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2039,8119.6,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2040,4135,Mt CO2,reported
NZE,WEO2025,Global Gas (A.4),2040,2943,Mt CO2,reported
NZE,WEO2025,Global O&G (A.4),2040,7078,Mt CO2,reported
NZE,WEO2025,Global Oil (A.4),2041,3837.1,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2041,2698.3,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2041,6535.4,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2042,3539.2,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2042,2453.6,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2042,5992.8,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2043,3241.3,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2043,2208.9,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2043,5450.2,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2044,2943.4,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2044,1964.2,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2044,4907.6,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2045,2645.5,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2045,1719.5,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2045,4365,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2046,2347.6,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2046,1474.8,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2046,3822.4,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2047,2049.7,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2047,1230.1,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2047,3279.8,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2048,1751.8,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2048,985.4,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2048,2737.2,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2049,1453.9,Mt CO2,interp_lineal
NZE,WEO2025,Global Gas (A.4),2049,740.7,Mt CO2,interp_lineal
NZE,WEO2025,Global O&G (A.4),2049,2194.6,Mt CO2,interp_lineal
NZE,WEO2025,Global Oil (A.4),2050,1156,Mt CO2,reported
NZE,WEO2025,Global Gas (A.4),2050,496,Mt CO2,reported
NZE,WEO2025,Global O&G (A.4),2050,1652,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2021,14,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2022,14.244471,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2023,14.493211,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2024,14.746294,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2025,13.916244,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2026,13.132916,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2027,12.39368,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2028,11.696056,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2029,11.037699,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2030,10.416401,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2031,9.830075,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2032,9.276752,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2033,8.754575,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2034,8.261791,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2035,7.796745,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2036,6.982539,Mt CO2,reported
